Hospital Name,City,Staffed,Total,Patient,Gross Patient
,,Beds,Discharges,Days,Revenue ($000)
Adventist Health Simi Valley,Simi Valley,144,"6,574","26,847","$666,423 "
Adventist Ukiah Valley,Ukiah,50,"3,451","12,747","$529,977 "
Downey Medical Center,Downey,352,"15,856","70,158","$2,411,332 "
MarinHealth Medical Center,Greenbrae,235,"9,248","39,395","$2,216,874 "
Providence Saint John's Health Center,Santa Monica,266,"12,400","57,959","$1,259,366 "
Woodland Hills Medical Center,Woodland Hills,252,"8,564","33,082","$1,304,544 "
60th Medical Group - David Grant USAF Medical Center,Travis Air Force Base,0,0,0,$0 
Adventist Health and Rideout,Marysville,209,"11,677","56,930","$1,452,858 "
Adventist Health Bakersfield,Bakersfield,254,"17,389","67,655","$2,036,693 "
Adventist Health Glendale,Glendale,451,"17,633","78,905","$2,544,517 "
Adventist Health Hanford,Hanford,230,"9,455","47,221","$1,143,207 "
Adventist Health Lodi Memorial,Lodi,190,"8,990","34,259","$1,456,557 "
Adventist Health Reedley,Reedley,49,"1,838","6,199","$301,523 "
Adventist Health Saint Helena,Saint Helena,130,"3,690","22,828","$1,127,609 "
Adventist Health Selma,Selma,0,0,0,$0 
Adventist Health Sonora,Sonora,152,"4,158","14,686","$996,958 "
Adventist Health Tulare,Tulare,108,688,"3,359","$105,590 "
Adventist Health Vallejo,Vallejo,0,0,0,$0 
Adventist Health White Memorial,Los Angeles,353,"18,937","82,082","$2,393,499 "
AHMC Anaheim Regional Medical Center,Anaheim,223,"10,240","46,132","$1,412,018 "
Alameda Hospital,Alameda,215,"2,408","12,134","$402,813 "
Alhambra Hospital Medical Center,Alhambra,144,"4,792","20,061","$553,245 "
Alta Bates Summit Medical Center,Oakland,354,"11,595","52,305","$1,693,389 "
Alta Bates Summit Medical Center Herrick Campus,Berkeley,0,0,0,$0 
Alta Bates Summit Medical Center Alta Bates Campus,Berkeley,401,"9,352","65,087","$1,818,558 "
Alvarado Hospital Medical Center,San Diego,304,"4,832","23,507","$532,834 "
Anaheim Global Medical Center,Anaheim,183,"2,682","19,959","$295,471 "
Anaheim Medical Center,Anaheim,484,"24,383","98,691","$2,777,703 "
Antelope Valley Hospital,Lancaster,393,"19,155","86,522","$1,823,103 "
Antioch Medical Center,Antioch,138,"7,326","25,035","$939,186 "
Arrowhead Regional Medical Center,Colton,456,"19,145","99,359","$1,642,821 "
Arroyo Grande Community Hospital,Arroyo Grande,67,"4,298","14,331","$542,368 "
Bakersfield Heart Hospital,Bakersfield,47,"3,098","12,512","$443,526 "
Bakersfield Memorial Hospital,Bakersfield,421,"17,245","71,705","$2,051,484 "
Baldwin Park Medical Center,Baldwin Park,257,"11,026","41,403","$1,847,528 "
Barstow Community Hospital,Barstow,30,"2,099","6,860","$469,359 "
Barton Memorial Hospital,South Lake Tahoe,111,"2,322","7,196","$452,204 "
Beverly Hospital,Montebello,224,"10,290","39,617","$430,834 "
California Hospital Medical Center,Los Angeles,318,"18,047","77,124","$1,477,782 "
California Mens Colony Hospital,San Luis Obispo,0,0,0,$0 
Casa Colina Hospital and Centers for Healthcare,Pomona,99,"1,195","4,371","$219,339 "
Cedars-Sinai Medical Center,Los Angeles,880,"56,087","272,413","$16,647,906 "
Centinela Hospital Medical Center,Inglewood,345,"15,776","62,436","$1,184,803 "
