Hospital Name,City,Staffed,Total,Patient,Gross Patient
,,Beds,Discharges,Days,Revenue ($000)
96th Medical Group - United States Air Force Eglin Regional Hospital,Eglin Air Force Base,0,0,0,$0 
AdventHealth Altamonte Springs,Altamonte Springs,0,0,0,$0 
AdventHealth Apopka,Apopka,0,0,0,$0 
AdventHealth Carrollwood,Tampa,103,"5,157","19,364","$786,317 "
AdventHealth Celebration,Celebration,0,0,0,$0 
AdventHealth Dade City,Dade City,120,"1,864","6,890","$335,417 "
AdventHealth Daytona Beach,Daytona Beach,0,0,0,$0 
AdventHealth DeLand,DeLand,164,"8,436","34,262","$786,861 "
AdventHealth East Orlando,Orlando,0,0,0,$0 
AdventHealth Fish Memorial,Orange City,179,"9,710","42,707","$777,205 "
AdventHealth Heart of Florida,Davenport,193,"9,429","39,217","$1,672,954 "
AdventHealth Kissimmee,Kissimmee,0,0,0,$0 
AdventHealth Lake Placid,Lake Placid,0,0,0,$0 
AdventHealth Lake Wales,Lake Wales,131,"3,724","15,033","$529,786 "
AdventHealth New Smyrna Beach,New Smyrna Beach,112,"5,605","24,673","$414,730 "
AdventHealth North Pinellas,Tarpon Springs,168,"5,389","20,947",$0 
AdventHealth Ocala,Ocala,413,"19,006","89,082","$1,855,126 "
AdventHealth Orlando,Orlando,"2,826","129,339","661,422","$18,165,611 "
AdventHealth Palm Coast,Palm Coast,99,"8,093","32,683","$814,892 "
AdventHealth Pepin Heart Institute,Tampa,0,0,0,$0 
AdventHealth Sebring,Sebring,197,"10,927","45,483","$1,201,463 "
AdventHealth Tampa,Tampa,536,"21,845","116,953","$3,016,076 "
AdventHealth Waterman,Tavares,269,"15,150","65,446","$1,328,728 "
AdventHealth Wesley Chapel,Wesley Chapel,145,"7,822","23,723","$1,145,725 "
AdventHealth Winter Park,Winter Park,0,0,0,$0 
AdventHealth Zephyrhills,Zephyrhills,149,"8,942","34,001","$1,007,596 "
Ascension Sacred Heart Hospital on the Emerald Coast,Miramar Beach,62,"5,380","16,055","$712,410 "
Ascension Sacred Heart Hospital on the Gulf,Port Saint Joe,19,396,"1,049","$52,340 "
Ascension Sacred Heart Hospital Pensacola,Pensacola,561,"24,138","117,781","$2,881,563 "
Ascension St. Vincent's Clay County Hospital,Middleburg,106,"6,948","22,984","$714,759 "
