Hospital Name,City,Staffed,Total,Patient,Gross Patient
,,Beds,Discharges,Days,Revenue ($000)
Carle Richland Memorial Hospital,Olney,81,958,"4,439","$171,300 "
Northwestern Medicine Kishwaukee Hospital,DeKalb,98,"5,056","21,448","$722,289 "
375th Medical Group - Scott Air Force Base Medical Center,Scott Air Force Base,0,0,0,$0 
Advocate BroMenn Regional Medical Center,Normal,221,"8,164","32,224","$478,543 "
Advocate Christ Medical Center,Oak Lawn,777,"42,133","227,436","$3,681,071 "
Advocate Condell Medical Center,Libertyville,273,"15,638","69,512","$1,518,888 "
Advocate Good Samaritan Hospital,Downers Grove,284,"16,279","70,253","$1,319,396 "
Advocate Good Shepherd Hospital,Barrington,176,"9,712","40,013","$889,027 "
Advocate Illinois Masonic Medical Center,Chicago,311,"11,900","51,024","$1,438,797 "
Advocate Lutheran General Hospital,Park Ridge,629,"27,333","145,866","$2,503,516 "
Advocate Sherman Hospital,Elgin,255,"16,813","60,597","$1,388,562 "
Advocate South Suburban Hospital,Hazel Crest,233,"9,628","38,306","$861,435 "
Advocate Trinity Hospital,Chicago,201,"7,277","29,974","$504,268 "
Alton Memorial Hospital,Alton,152,"7,386","24,099","$521,023 "
AMITA Health Adventist GlenOaks Hospital,Glendale Heights,138,"5,196","23,625","$273,204 "
AMITA Health Adventist Medical Center Bolingbrook,Bolingbrook,134,"5,834","22,747","$542,443 "
AMITA Health Adventist Medical Center Hinsdale,Hinsdale,261,"10,966","51,311","$1,072,752 "
AMITA Health Adventist Medical Center La Grange,La Grange,176,"7,405","32,100","$597,897 "
AMITA Health Alexian Brothers Medical Center Elk Grove Village,Elk Grove Village,354,"15,522","74,451","$2,264,353 "
AMITA Health Mercy Medical Center Aurora,Aurora,256,"5,994","25,330","$1,099,252 "
AMITA Health Resurrection Medical Center Chicago,Chicago,274,"12,201","54,261","$1,510,378 "
AMITA Health Saint Francis Hospital Evanston,Evanston,181,"8,040","30,501","$971,058 "
AMITA Health Saint Joseph Hospital Chicago,Chicago,313,"9,985","43,629","$858,719 "
AMITA Health Saint Joseph Hospital Elgin,Elgin,184,"5,648","25,669","$857,703 "
AMITA Health Saint Joseph Medical Center Joliet,Joliet,424,"18,048","72,554","$2,023,383 "
AMITA Health Saints Mary and Elizabeth Medical Center Saint Elizabeth Campus,Chicago,219,"7,753","40,230","$202,651 "
AMITA Health Saints Mary and Elizabeth Medical Center Saint Mary Campus,Chicago,429,"16,912","83,883","$1,463,998 "
AMITA Health St. Alexius Medical Center Hoffman Estates,Hoffman Estates,318,"16,621","77,115","$1,618,186 "
AMITA Health St. Marys Hospital Kankakee,Kankakee,169,"5,534","21,211","$753,416 "
Anderson Hospital,Maryville,154,"6,932","27,287","$585,097 "
Blessing Hospital,Quincy,327,"12,588","50,931","$1,391,646 "
Cancer Treatment Centers of America Chicago,Zion,73,"1,395","8,119",$0 
Captain James A. Lovell Federal Health Care Center,North Chicago,0,0,0,$0 
Carle Foundation Hospital,Urbana,411,"27,238","116,233","$3,599,220 "
CGH Medical Center,Sterling,96,"3,944","13,874","$883,751 "
Community First Medical Center,Chicago,279,"5,656","30,912","$633,834 "
Crossroads Community Hospital,Mount Vernon,47,"1,115","3,352","$235,981 "
Decatur Memorial Hospital,Decatur,222,"8,859","36,883","$1,067,119 "
"Edward Hines, Jr. VA Hospital",Hines,0,0,0,$0 
Edward Hospital,Naperville,298,"22,048","94,116","$3,495,407 "
Elmhurst Hospital,Elmhurst,282,"17,404","69,930","$2,674,877 "
Evanston Hospital,Evanston,751,"39,381","170,431","$5,155,652 "
FHN Memorial Hospital,Freeport,100,"3,830","14,237","$503,578 "
Franciscan Health Olympia Fields Campus,Olympia Fields,206,"10,945","45,101","$1,210,956 "
Galesburg Cottage Hospital,Galesburg,112,"1,754","6,699","$352,952 "
Gateway Regional Medical Center,Granite City,305,"6,417","29,246","$900,224 "
Genesis Medical Center Silvis,Silvis,265,"3,316","10,062","$286,641 "
Glenbrook Hospital,Glenview,0,0,0,$0 
Graham Hospital,Canton,81,"2,069","7,467","$218,898 "
Harrisburg Medical Center,Harrisburg,70,"1,547","4,671","$154,551 "
Heartland Regional Medical Center,Marion,94,"3,820","11,122","$622,008 "
Herrin Hospital,Herrin,114,"6,147","21,396","$682,177 "
Highland Park Hospital,Highland Park,0,0,0,$0 
Holy Cross Hospital,Chicago,221,"8,787","40,568","$557,241 "
HSHS Good Shepherd Hospital,Shelbyville,30,371,"1,036","$38,088 "
HSHS Holy Family Hospital,Greenville,42,825,"2,719","$66,895 "
HSHS Saint Anthony's Memorial Hospital,Effingham,133,"4,592","15,569","$413,430 "
HSHS Saint Elizabeth's Hospital,O'Fallon,144,"9,930","37,038","$839,994 "
HSHS Saint John's Hospital,Springfield,369,"18,322","98,788","$1,938,233 "
HSHS Saint Joseph's Hospital Breese,Breese,46,"1,425","4,814","$139,511 "
HSHS Saint Mary's Hospital,Decatur,207,"5,585","23,732","$624,519 "
Illinois Valley Community Hospital,Peru,49,"2,166","6,739","$257,568 "
Iroquois Memorial Hospital,Watseka,60,575,"1,523","$69,120 "
Jackson Park Hospital,Chicago,201,"6,093","26,463","$210,832 "
Javon Bea Hospital Rockton,Rockford,292,"12,629","67,656","$1,346,220 "
