Hospital Name,City,Staffed,Total,Patient,Gross Patient
,,Beds,Discharges,Days,Revenue ($000)
University of Missouri Women's and Children's Hospital,Columbia,98,"6,077","27,099","$285,682 "
Barnes-Jewish Hospital,Saint Louis,"1,368","49,494","286,816","$5,992,622 "
Barnes-Jewish Saint Peters Hospital,Saint Peters,113,"5,350","20,715","$429,399 "
Barnes-Jewish West County Hospital,Creve Coeur,77,"2,845","6,223","$436,818 "
Bates County Memorial Hospital,Butler,44,825,"2,958","$106,236 "
Belton Regional Medical Center,Belton,71,"3,557","10,589","$509,525 "
Boone Hospital Center,Columbia,350,"12,845","56,553","$934,585 "
Bothwell Regional Health Center,Sedalia,108,"3,923","15,340","$346,815 "
Cameron Regional Medical Center,Cameron,51,"1,601","5,551","$169,143 "
Capital Region Medical Center,Jefferson City,114,"5,319","18,742","$597,913 "
Capital Region Southwest Campus,Jefferson City,0,0,0,$0 
Centerpoint Medical Center,Independence,281,"16,651","66,617","$2,289,660 "
Christian Hospital,Saint Louis,223,"12,659","61,368","$1,093,893 "
Citizens Memorial Hospital,Bolivar,72,"3,141","9,487","$428,108 "
Cox Medical Center Branson,Branson,118,"6,241","27,548","$750,006 "
Cox Medical Center South,Springfield,0,0,0,$0 
Cox North Hospital,Springfield,680,"31,736","161,938","$3,680,234 "
Fitzgibbon Hospital,Marshall,52,"1,384","4,336","$125,720 "
Freeman West,Joplin,391,"16,999","85,482","$2,141,926 "
Fulton Medical Center,Fulton,37,143,332,"$28,328 "
General Leonard Wood Army Community Hospital,Fort Leonard Wood,0,0,0,$0 
Golden Valley Memorial Hospital,Clinton,42,"2,051","7,237","$310,508 "
Hannibal Regional Hospital,Hannibal,99,"4,358","16,222","$426,903 "
Harry S. Truman Memorial Veterans' Hospital,Columbia,0,0,0,$0 
John Cochran Division,Saint Louis,0,0,0,$0 
John J. Pershing VA Medical Center,Poplar Bluff,0,0,0,$0 
Kansas City VA Medical Center,Kansas City,0,0,0,$0 
Lake Regional Health System,Osage Beach,116,"4,705","15,879","$543,313 "
Lee's Summit Medical Center,Lee's Summit,80,"4,168","14,342","$575,821 "
Liberty Hospital,Liberty,199,"7,747","32,282","$748,119 "
Mercy Children's Hospital Saint Louis,Saint Louis,0,0,0,$0 
Mercy Children's Hospital Springfield,Springfield,0,0,0,$0 
Mercy Heart and Vascular Hospital Saint Louis,Saint Louis,0,0,0,$0 
Mercy Hospital Jefferson,Festus,321,"9,618","42,108","$792,628 "
Mercy Hospital Joplin,Joplin,240,"12,793","58,466","$990,109 "
Mercy Hospital Lebanon,Lebanon,43,"2,497","6,103","$289,203 "
Mercy Hospital Saint Louis,Saint Louis,859,"41,026","228,212","$3,960,135 "
Mercy Hospital South,Saint Louis,767,"26,057","123,678","$1,680,804 "
