Hospital Name,City,Staffed,Total,Patient,Gross Patient
,,Beds,Discharges,Days,Revenue ($000)
Carson Tahoe Regional Medical Center,Carson City,211,"10,795","46,814","$1,059,467 "
Carson Tahoe Sierra Surgery Hospital,Carson City,15,746,"1,772","$104,781 "
Centennial Hills Hospital Medical Center,Las Vegas,248,"15,560","69,168","$2,341,932 "
Children's Hospital of Nevada,Las Vegas,0,0,0,$0 
Desert Springs Hospital Medical Center,Las Vegas,293,"12,675","58,563","$2,184,270 "
Dignity Health - Saint Rose Dominican Sahara Campus,Las Vegas,0,0,0,$0 
Dignity Health - St. Rose Dominican Rose de Lima Campus,Henderson,110,"3,641","14,919","$691,270 "
Dignity Health - St. Rose Dominican Siena Campus,Henderson,326,"19,426","95,987","$3,071,158 "
Dignity Health Saint Rose Dominican North Las Vegas Campus,North Las Vegas,32,682,"1,399","$368,241 "
Dignity Health St. Rose Dominican's Blue Diamond Campus,Las Vegas,0,0,0,$0 
"Dignity Health-Saint Rose Dominican, West Flamingo Campus",Las Vegas,0,0,0,$0 
Dignity Health-St. Rose Dominican San Martin Campus,Las Vegas,136,"7,543","33,170","$1,254,650 "
Henderson Hospital,Henderson,140,"10,545","35,470","$1,571,748 "
Mike O'Callaghan Military Medical Center,Nellis Air Force Base,0,0,0,$0 
MountainView Hospital,Las Vegas,384,"21,837","102,822","$3,873,767 "
North Vista Hospital,North Las Vegas,177,"8,357","37,059","$801,421 "
Northeastern Nevada Regional Hospital,Elko,59,"1,958","5,159","$214,261 "
Northern Nevada Medical Center,Sparks,108,"4,042","13,241","$829,810 "
Orthopedic Specialty Hospital of Nevada,Las Vegas,130,"3,375","20,734","$132,967 "
Renown Regional Medical Center,Reno,637,"32,725","187,103","$3,640,874 "
Renown South Meadows Medical Center,Reno,138,"4,080","13,403","$577,715 "
Saint Mary's Regional Medical Center,Reno,252,"13,342","60,403","$1,127,999 "
Southern Hills Hospital & Medical Center,Las Vegas,186,"9,899","39,940","$1,544,931 "
Spring Valley Hospital Medical Center,Las Vegas,359,"17,218","81,066","$2,900,694 "
Summerlin Hospital Medical Center,Las Vegas,401,"22,993","111,894","$3,724,161 "
Sunrise Children's Hospital,Las Vegas,0,0,0,$0 
Sunrise Hospital & Medical Center,Las Vegas,596,"28,518","179,113","$6,436,417 "
University Medical Center,Las Vegas,498,"25,789","128,837","$3,413,693 "
VA Sierra Nevada Health Care System,Reno,0,0,0,$0 
VA Southern Nevada Healthcare System,Las Vegas,0,0,0,$0 
Valley Hospital Medical Center,Las Vegas,290,"14,923","85,614","$2,604,304 "
