Hospital Name,City,Staffed,Total,Patient,Gross Patient
,,Beds,Discharges,Days,Revenue ($000)
Long Island Community Hospital,Patchogue,235,"11,756","69,960","$1,419,960 "
A.O. Fox Hospital,Oneonta,191,"2,168","8,222","$174,018 "
Adirondack Medical Center at Saranac Lake,Saranac Lake,155,"2,001","7,868","$264,858 "
Albany Medical Center,Albany,793,"39,130","214,165","$3,152,876 "
Albany Stratton VA Medical Center,Albany,0,0,0,$0 
Arnot Ogden Medical Center,Elmira,225,"10,921","46,139","$718,583 "
Auburn Community Hospital,Auburn,179,"4,466","17,986","$269,620 "
Bassett Medical Center,Cooperstown,180,"8,910","44,246","$1,134,872 "
Batavia VA Medical Center,Batavia,0,0,0,$0 
Bath VA Medical Center,Bath,0,0,0,$0 
Bellevue Woman's Center,Niskayuna,40,"2,197","11,616","$49,835 "
Bertrand Chaffee Hospital,Springville,103,853,"3,107","$45,753 "
Bon Secours Community Hospital,Port Jervis,168,"2,868","14,014","$499,171 "
"BronxCare Dr. Martin Luther King, Jr. Health Center",Bronx,564,"27,254","131,625","$968,732 "
BronxCare Special Care Center,Bronx,0,0,0,$0 
Brooks Memorial Hospital,Dunkirk,65,"2,180","10,201","$129,291 "
Buffalo General Medical Center,Buffalo,"1,068","50,926","264,758","$3,326,172 "
Buffalo VA Medical Center,Buffalo,0,0,0,$0 
Burdett Birth Center,Troy,0,0,0,$0 
Canandaigua VA Medical Center,Canandaigua,0,0,0,$0 
Canton-Potsdam Hospital,Potsdam,94,"4,614","23,761","$419,240 "
Catskill Regional Medical Center - Harris Campus,Harris,166,"3,485","16,320","$250,405 "
Cayuga Medical Center at Ithaca,Ithaca,178,"6,257","28,410","$414,654 "
Claxton-Hepburn Medical Center,Ogdensburg,130,"2,046","10,390","$230,531 "
Clifton Springs Hospital and Clinic,Clifton Springs,203,"1,938","14,290","$149,734 "
Columbia Memorial Hospital,Hudson,117,"4,342","23,510","$480,484 "
Cornerstone of Fresh Meadows,Fresh Meadows,0,0,0,$0 
Crouse Hospital,Syracuse,502,"19,181","114,794","$858,147 "
Eastern Niagara Hospital-Lockport,Lockport,135,"4,071","27,558","$191,264 "
Ellis Hospital,Schenectady,416,"16,882","92,773","$1,419,755 "
Erie County Medical Center,Buffalo,906,"16,670","102,375","$1,025,323 "
F.F. Thompson Hospital,Canandaigua,291,"4,613","21,085","$400,769 "
Flushing Hospital Medical Center,Flushing,299,"13,402","67,185","$481,041 "
Geneva General Hospital,Geneva,477,"3,607","15,323","$298,949 "
Glen Cove Hospital,Glen Cove,119,"3,192","13,445","$501,246 "
Glens Falls Hospital,Glens Falls,406,"11,172","51,127","$1,077,452 "
Good Samaritan Hospital,Suffern,286,"14,833","70,259","$2,077,793 "
Good Samaritan Hospital Medical Center,West Islip,437,"24,474","127,312","$2,983,104 "
Guthrie Corning Hospital,Corning,65,"4,474","15,149","$473,384 "
Guthrie Cortland Regional Medical Center,Cortland,194,"3,121","11,271","$217,521 "
HealthAlliance - Broadway Campus,Kingston,149,"5,625","26,491","$637,728 "
HealthAlliance Hospital Mary's Avenue Campus,Kingston,105,"1,676","7,761","$227,912 "
