Hospital Name,City,Staffed,Total,Patient,Gross Patient
,,Beds,Discharges,Days,Revenue ($000)
INTEGRIS Miami Hospital,Miami,114,"1,754","5,554","$161,606 "
AllianceHealth Clinton,Clinton,56,888,"2,631","$86,730 "
AllianceHealth Durant,Durant,140,"5,012","18,415","$952,518 "
AllianceHealth Midwest,Midwest City,255,"6,612","31,089","$1,192,326 "
AllianceHealth Ponca City,Ponca City,48,"2,306","8,484","$298,754 "
AllianceHealth Seminole,Seminole,32,507,"1,362","$68,475 "
AllianceHealth Woodward,Woodward,40,"1,077","2,761","$212,576 "
Ascension Jane Phillips Medical Center,Bartlesville,114,"4,206","13,490","$408,145 "
Ascension Saint John Owasso,Owasso,32,"1,802","4,419","$128,748 "
Bailey Medical Center,Owasso,73,"1,610","3,546","$232,913 "
Blackwell Regional Hospital,Blackwell,34,483,"1,531","$37,515 "
Bristow Medical Center,Bristow,55,"1,679","2,591","$248,562 "
Cancer Treatment Centers of America Tulsa,Tulsa,40,683,"3,870",$0 
Chickasaw Nation Medical Center,Ada,72,"2,690","8,300",$0 
Choctaw Memorial Hospital,Hugo,34,919,"3,884","$43,492 "
Choctaw Nation Health Care Center,Talihina,43,"1,223","3,230",$0 
Claremore IHS Hospital,Claremore,46,822,"2,503",$0 
Comanche County Memorial Hospital,Lawton,229,"9,592","45,902","$986,811 "
Community Hospital,Oklahoma City,45,"2,310","4,819","$579,224 "
Duncan Regional Hospital,Duncan,110,"3,928","14,838","$371,757 "
Elkview General Hospital,Hobart,38,567,"1,585","$27,509 "
Grady Memorial Hospital,Chickasha,49,910,"3,245","$93,615 "
Great Plains Regional Medical Center,Elk City,54,"1,505","5,575","$161,872 "
Heart Hospital at Saint Francis,Tulsa,88,"5,592","21,021","$442,240 "
Hillcrest Hospital Claremore,Claremore,65,"2,370","7,988","$294,700 "
Hillcrest Hospital Cushing,Cushing,95,866,"2,998","$78,326 "
Hillcrest Hospital Henryetta,Henryetta,41,571,"2,337","$69,945 "
Hillcrest Hospital Pryor,Pryor,24,603,"1,190","$111,021 "
Hillcrest Hospital South,Tulsa,164,"9,411","45,066","$816,152 "
Hillcrest Medical Center,Tulsa,480,"22,448","125,933","$2,888,010 "
INTEGRIS Baptist Medical Center,Oklahoma City,667,"28,269","183,529","$4,250,825 "
INTEGRIS Bass Baptist Health Center,Enid,183,"3,347","11,505","$444,913 "
