Hospital Name,City,Staffed,Total,Patient,Gross Patient
,,Beds,Discharges,Days,Revenue ($000)
Baylor Scott & White Medical Center Plano,Plano,118,"7,027","31,803","$627,288 "
Baylor Scott & White Medical Center Grapevine,Grapevine,289,"12,611","57,196","$833,427 "
Baylor Scott & White Medical Center Temple,Temple,634,"37,125","170,504","$5,288,971 "
CHI St. Joseph Health Bellville Hospital,Bellville,32,101,260,"$27,166 "
CHRISTUS Good Shepherd Medical Center - Marshall,Marshall,361,"18,616","67,436","$2,404,604 "
CHRISTUS Good Shepherd Medical Center Longview,Longview,351,"14,640","54,600","$1,329,235 "
Cuero Regional Hospital,Cuero,44,"1,018","3,547","$77,620 "
HCA Houston Healthcare Kingwood,Kingwood,521,"19,472","97,625","$3,170,855 "
HCA Houston Healthcare Medical Center,Houston,133,"3,529","21,805","$604,268 "
Medical City North Hills,North Richland Hills,157,"6,416","28,785","$1,082,175 "
Texas Health Presbyterian Hospital of Rockwall,Rockwall,53,"2,741","12,531","$405,327 "
The University of Texas Medical Branch Health Angleton Danbury Campus,Angleton,62,"2,220","6,324","$88,343 "
Abilene Regional Medical Center,Abilene,196,"5,700","24,140","$973,076 "
Advanced Diagnostics Hospitals and Clinics,Houston,4,468,"1,255","$314,543 "
AdventHealth Central Texas,Killeen,208,"8,012","26,068","$523,130 "
Altus Baytown Hospital,Baytown,14,786,786,"$161,174 "
Altus Hospital Houston,Houston,0,0,0,$0 
Anson General Hospital,Anson,7,302,"1,836","$9,391 "
Arise Austin Medical Center,Austin,21,535,989,"$84,106 "
Ascension Providence,Waco,271,"14,985","62,162","$1,220,282 "
Ascension Seton Hays,Kyle,142,"7,947","34,888","$1,059,834 "
Ascension Seton Medical Center Austin,Austin,430,"18,629","105,384","$2,681,968 "
Ascension Seton Northwest,Austin,106,"4,933","18,733","$627,978 "
Ascension Seton Smithville,Smithville,8,184,564,"$41,650 "
Ascension Seton Southwest,Austin,28,241,655,"$155,340 "
Ascension Seton Williamson,Round Rock,119,"7,351","34,491","$1,042,399 "
Aspire Hospital,Conroe,30,32,194,"$44,773 "
Audie L. Murphy Memorial VA Hospital,San Antonio,0,0,0,$0 
Baptist Emergency Hospital Hausman,San Antonio,0,0,0,$0 
Baptist Emergency Hospital at Kelly,San Antonio,0,0,0,$0 
Baptist Emergency Hospital Overlook,San Antonio,0,0,0,$0 
Baptist Emergency Hospital Schertz,Schertz,0,0,0,$0 
Baptist Emergency Hospital Westover Hills,San Antonio,0,0,0,$0 
Baptist Emergency Hospital- Thousand Oaks,San Antonio,50,"1,269","2,568","$776,452 "
Baptist Hospitals of Southeast Texas,Beaumont,396,"14,844","62,855","$1,682,772 "
Baptist Medical Center,San Antonio,"1,567","58,575","271,393","$8,648,534 "
Baylor Scott & White All Saints Medical Center,Fort Worth,377,"17,170","96,799","$1,182,439 "
Baylor Scott & White Emergency Hospital - Colleyville,Colleyville,0,0,0,$0 
Baylor Scott & White Emergency Hospital - Grand Prairie,Grand Prairie,0,0,0,$0 
Baylor Scott & White Emergency Hospital - Keller,Keller,0,0,0,$0 
Baylor Scott & White Emergency Hospital - Mansfield,Mansfield,0,0,0,$0 
Baylor Scott & White Emergency Hospital - Murphy,Murphy,0,0,0,$0 
Baylor Scott & White Emergency Hospital - Rockwall,Rockwall,8,197,496,"$50,619 "
Baylor Scott & White Emergency Hospital-Aubrey,Aubrey,40,648,"1,235","$158,719 "
Baylor Scott & White Emergency Hospital-Burleson,Burleson,24,423,741,"$115,019 "
Baylor Scott & White Heart and Vascular Hospital,Dallas,53,"2,628","8,845","$752,629 "
Baylor Scott & White McLane Children's,Temple,2,0,0,"$10,105 "
Baylor Scott & White Medical Center - Pflugerville,Pflugerville,0,0,0,$0 
Baylor Scott & White Medical Center - Sunnyvale,Sunnyvale,70,"4,560","19,471","$454,859 "
Baylor Scott & White Medical Center Austin,Austin,0,0,0,$0 
Baylor Scott & White Medical Center Brenham,Brenham,50,"1,739","4,054","$160,299 "
Baylor Scott & White Medical Center Carrollton,Carrollton,94,"5,028","21,897","$407,730 "
Baylor Scott & White Medical Center Centennial,Frisco,118,"4,498","19,750","$389,401 "
Baylor Scott & White Medical Center College Station,College Station,119,"8,565","27,478","$1,072,276 "
Baylor Scott & White Medical Center Hillcrest,Waco,236,"13,577","57,644","$1,262,964 "
Baylor Scott & White Medical Center Irving,Irving,222,"10,124","44,998","$786,018 "
Baylor Scott & White Medical Center Lake Pointe,Rowlett,121,"7,034","29,974","$802,861 "
Baylor Scott & White Medical Center Lakeway,Lakeway,106,"2,908","11,504","$354,156 "
Baylor Scott & White Medical Center Llano,Llano,25,182,471,"$110,290 "
Baylor Scott & White Medical Center Marble Falls,Marble Falls,46,"2,567","7,888","$368,192 "
Baylor Scott & White Medical Center McKinney,McKinney,143,"8,594","36,446",$0 
Baylor Scott & White Medical Center Round Rock,Round Rock,167,"10,117","38,501","$1,853,089 "
Baylor Scott & White Medical Center Trophy Club,Trophy Club,22,"1,113","2,456","$185,095 "
Baylor Scott & White Medical Center Uptown,Dallas,24,"1,071","2,027","$174,820 "
Baylor Scott & White Medical Center Waxahachie,Waxahachie,106,"7,341","27,985","$703,301 "
Baylor Scott & White Orthopedic and Spine Hospital Arlington,Arlington,24,"1,704","3,895","$270,662 "
Baylor Scott & White Surgical Hospital at Sherman,Sherman,12,492,"1,141","$216,072 "
Baylor Scott & White Surgical Hospital Fort Worth,Fort Worth,30,"1,669","3,685","$271,907 "
Baylor Scott & White Texas Spine & Joint Hospital,Tyler,20,"2,144","5,161","$559,259 "
Baylor Scott and White Medical Center Frisco,Frisco,68,"4,127","15,303","$358,954 "
Baylor Scott and White The Heart Hospital - Plano,Plano,114,"5,233","30,136","$976,792 "
Baylor Scott and White The Heart Hospital Denton,Denton,22,660,"2,789","$153,784 "
Baylor Surgical Hospital at Las Colinas,Irving,20,763,"1,531","$145,438 "
Baylor University Medical Center,Dallas,824,"74,926","233,574","$3,204,636 "
Ben Taub General Hospital,Houston,684,"28,163","145,212","$2,755,729 "
Brownfield Regional Medical Center,Brownfield,26,432,"1,608","$27,167 "
Brownwood Regional Medical Center,Brownwood,77,"2,743","11,025","$389,056 "
BSA Hospital,Amarillo,378,"19,290","84,693","$1,770,705 "
Carl R. Darnall Army Medical Center,Fort Hood,0,0,0,$0 
Cedar Park Regional Medical Center,Cedar Park,93,"5,925","19,141","$728,895 "
Central Texas Medical Center,San Marcos,170,"3,636","13,231","$398,971 "
Central Texas Veterans Health Care System - Olin E. Teague Veterans' Center,Temple,0,0,0,$0 
CHI Saint Luke's Health - Memorial Lufkin,Lufkin,184,"5,860","29,140","$896,287 "
CHI Saint Luke's Health - The Woodlands,The Woodlands,234,"11,026","48,950","$1,108,524 "
CHI Saint Luke's Health Lakeside Hospital,The Woodlands,30,796,"1,628","$189,264 "
CHI Saint Luke's Health-Baylor Saint Luke's Medical Center,Houston,661,"23,114","148,532","$3,902,548 "
CHI St. Joseph Health College Station Hospital,College Station,114,"3,418","14,191","$768,727 "
CHI St. Joseph Health Regional Hospital,Bryan,209,"13,682","60,425","$1,835,107 "
CHI St. Luke's Health - Patients Medical Center,South Pasadena,61,"3,880","18,550","$436,529 "
CHI St. Luke's Health - The Vintage Hospital,Houston,86,"4,069","16,210","$389,930 "
CHI St. Luke's Health-Memorial Livingston,Livingston,52,"2,008","6,838","$309,760 "
CHI St. Luke's Sugar Land Hospital,Sugar Land,100,"4,380","20,406","$345,249 "
CHI St.Luke's Health Brazosport Hospital,Lake Jackson,94,"3,834","12,269","$389,793 "
Childress Regional Medical Center,Childress,39,472,"2,502","$65,986 "
CHRISTUS Jasper Memorial Hospital,Jasper,40,726,"2,225","$114,268 "
CHRISTUS Mother Frances Hospital - South Tyler,Tyler,0,0,0,$0 
CHRISTUS Mother Frances Hospital - Tyler,Tyler,433,"24,434","113,896","$4,414,752 "
CHRISTUS Mother Frances Hospital-Sulphur Springs,Sulphur Springs,62,"2,923","10,129","$466,815 "
CHRISTUS Saint Michael Health System,Texarkana,354,"14,351","62,657","$1,641,826 "
CHRISTUS Saint Michael Hospital - Atlanta,Atlanta,37,725,"2,524","$29,145 "
CHRISTUS Santa Rosa Hospital Alamo Heights,San Antonio,0,0,0,$0 
CHRISTUS Santa Rosa Hospital - Medical Center,San Antonio,377,"20,679","84,354","$2,244,054 "
CHRISTUS Santa Rosa Hospital - New Braunfels,New Braunfels,0,0,0,$0 
CHRISTUS Santa Rosa Hospital-Westover Hills,San Antonio,0,0,0,$0 
CHRISTUS Southeast Texas - Saint Elizabeth,Beaumont,370,"16,212","69,313","$1,777,356 "
CHRISTUS Spohn Hospital Alice,Alice,72,"2,381","7,646","$368,203 "
CHRISTUS Spohn Hospital Beeville,Beeville,40,"1,795","5,206","$237,941 "
CHRISTUS Spohn Hospital Corpus Christi - South,Corpus Christi,0,0,0,$0 
CHRISTUS Spohn Hospital Corpus Christi -Shoreline,Corpus Christi,570,"25,594","138,644","$3,315,224 "
CHRISTUS Spohn Hospital Kleberg,Kingsville,50,"2,875","10,191","$318,066 "
CHRISTUS Trinity Mother Frances Louis and Peaches Owen Heart Hospital,Tyler,0,0,0,$0 
Citizens Medical Center,Victoria,327,"5,570","27,465","$600,245 "
City Hospital at White Rock,Dallas,187,"6,755","26,564","$692,916 "
Clear Lake Campus Hospital,Webster,149,"5,328","20,622","$661,799 "
Cleveland Emergency Hospital,Cleveland,16,67,271,"$531,482 "
Cobalt Rehabilitation El Paso,El Paso,0,0,0,$0 
Columbus Community Hospital,Columbus,40,823,"3,214","$63,123 "
Connally Memorial Medical Center,Floresville,44,830,"3,223","$112,896 "
Cornerstone Regional Hospital,Edinburg,14,490,977,"$81,277 "
Corpus Christi Medical Center - Bay Area,Corpus Christi,0,0,0,$0 
Corpus Christi Medical Center - Doctors Regional,Corpus Christi,416,"20,845","101,975","$2,902,516 "
Corpus Christi Medical Center - Northwest,Corpus Christi,89,"1,936","8,826","$84,546 "
Corpus Christi Medical Center - The Heart Hospital,Corpus Christi,0,0,0,$0 
Covenant Health Levelland,Levelland,48,751,"2,545","$70,428 "
Covenant Health Plainview,Plainview,49,"1,716","6,357","$191,785 "
Covenant Medical Center,Lubbock,380,"18,102","99,720","$3,974,597 "
Crescent Medical Center Lancaster,Lancaster,84,687,"2,188","$260,564 "
Crockett Medical Center,Crockett,25,341,543,"$48,399 "
Dallas Medical Center,Dallas,119,"2,600","10,302","$399,421 "
Dallas Regional Medical Center,Mesquite,202,"7,445","30,693","$791,535 "
Dallas VA Medical Center,Dallas,0,0,0,$0 
Del Sol Medical Center,El Paso,314,"14,214","72,436","$1,227,731 "
Dell Seton Medical Center at The University of Texas,Austin,0,0,0,$0 
DeTar Hospital Navarro,Victoria,200,"8,483","35,657","$1,714,980 "
DeTar Hospital North,Victoria,145,"1,496","6,888","$36,488 "
DHR Health,Edinburg,519,"25,921","120,659","$2,878,061 "
Doctors Hospital of Laredo,Laredo,183,"7,894","39,690","$1,194,099 "
Eastland Memorial Hospital,Eastland,36,559,"2,098","$44,487 "
Edinburg Regional Medical Center,Edinburg,838,"25,903","125,007","$4,345,090 "
El Campo Memorial Hospital,El Campo,26,638,"1,847","$61,617 "
El Paso Ltac Hospital,El Paso,33,229,"3,738","$16,861 "
Ennis Regional Medical Center,Ennis,60,646,"1,914","$141,130 "
Faith Community Hospital,Jacksboro,17,239,763,"$29,579 "
Falls Community Hospital,Marlin,36,371,"1,207","$51,118 "
First Surgical Hospital,Bellaire,19,476,"1,027","$124,224 "
First Texas Hospital,Houston,12,232,654,"$398,230 "
Fort Duncan Regional Medical Center,Eagle Pass,101,"4,130","15,760","$441,168 "
Foundation Surgical Hospital of El Paso,El Paso,40,567,"1,302","$237,806 "
Foundation Surgical Hospital of San Antonio,San Antonio,20,"1,216","2,145","$204,237 "
Freestone Medical Center,Fairfield,37,499,"1,557","$47,972 "
Glen Rose Medical Center,Glen Rose,16,292,858,"$57,781 "
Gonzales Memorial Hospital,Gonzales,34,756,"2,265","$68,307 "
Grace Medical Center,Lubbock,92,"1,064","2,804","$302,705 "
Graham Regional Medical Center,Graham,25,633,"1,946","$43,994 "
Guadalupe Regional Medical Center,Seguin,139,"3,693","13,996","$315,943 "
Harlingen Medical Center,Harlingen,112,"6,119","20,258","$611,451 "
HCA Houston Healthcare Clear Lake,Webster,578,"29,895","153,180","$4,447,864 "
HCA Houston Healthcare Conroe,Conroe,296,"14,401","63,472","$2,359,824 "
HCA Houston Healthcare Mainland,Texas City,217,"8,463","38,360","$729,864 "
HCA Houston Healthcare North Cypress,Cypress,139,"8,653","35,720","$1,677,338 "
HCA Houston Healthcare Northwest,Houston,312,"15,465","69,055","$2,292,024 "
HCA Houston Healthcare Pearland,Pearland,49,"2,574","9,425","$410,065 "
HCA Houston Healthcare Southeast,Pasadena,270,"11,980","66,188","$2,387,629 "
HCA Houston Healthcare Tomball,Tomball,241,"8,438","40,788","$1,461,749 "
HCA Houston Healthcare West,Houston,256,"11,650","60,807","$1,752,612 "
Heart Hospital of Austin,Austin,58,"4,104","13,646","$376,118 "
Hemphill County Hospital,Canadian,15,213,263,"$8,706 "
Hendrick Medical Center,Abilene,386,"16,025","75,009","$2,177,419 "
Hereford Regional Medical Center,Hereford,30,569,"1,583","$36,776 "
Hill Country Memorial Hospital,Fredericksburg,57,"2,186","7,626","$246,666 "
Hill Regional Hospital,Hillsboro,25,817,"2,234","$92,666 "
Houston Methodist Baytown Hospital,Baytown,218,"12,906","58,078","$1,781,751 "
Houston Methodist Clear Lake Hospital,Nassau Bay,178,"6,672","26,567","$929,943 "
Houston Methodist Hospital,Houston,"1,043","36,931","239,898","$8,267,468 "
Houston Methodist Sugar Land Hospital,Sugar Land,347,"16,995","81,221","$2,230,922 "
Houston Methodist The Woodlands Hospital,The Woodlands,146,"7,808","26,721","$1,183,183 "
Houston Methodist West Hospital,Houston,193,"11,827","47,997","$1,559,806 "
Houston Methodist Willowbrook Hospital,Houston,313,"18,255","83,797","$2,252,185 "
Houston Physicians' Hospital,Webster,21,701,"1,562","$429,233 "
Hunt Regional Medical Center at Greenville,Greenville,161,"5,624","27,433","$493,567 "
Huntsville Memorial Hospital,Huntsville,96,"4,374","20,254","$412,086 "
John Peter Smith Hospital,Fort Worth,562,"26,775","143,347","$2,514,392 "
Kell West Regional Hospital,Wichita Falls,41,"1,169","3,371","$99,844 "
Kerrville VA Hospital,Kerrville,0,0,0,$0 
Knapp Medical Center,Weslaco,186,"8,523","35,407","$433,752 "
Knox County Hospital,Knox City,28,96,277,"$87,225 "
Lake Granbury Medical Center,Granbury,48,"3,245","11,835","$931,730 "
Lamb Healthcare Center,Littlefield,42,320,"1,132","$12,876 "
Laredo Medical Center,Laredo,302,"13,484","72,875","$2,001,499 "
Las Palmas Medical Center,El Paso,559,"25,244","123,888","$4,736,142 "
Legent Orthopedic and Spine,San Antonio,26,127,221,"$108,208 "
Longview Regional Medical Center,Longview,224,"10,115","48,343","$2,070,319 "
Lubbock Heart Hospital,Lubbock,73,"2,595","8,801","$308,336 "
Lyndon B. Johnson Hospital,Houston,0,0,0,$0 
Matagorda Regional Medical Center,Bay City,58,"1,219","6,047","$139,016 "
Mayhill Hospital,Denton,59,0,0,"$39,018 "
McAllen Medical Center,McAllen,542,"23,215","119,662","$1,107,290 "
Medical Arts Hospital,Lamesa,22,305,"1,099","$30,707 "
Medical Center Hospital,Odessa,353,"13,688","71,266","$1,105,346 "
Medical City Alliance,Fort Worth,75,"4,241","17,279","$607,227 "
Medical City Arlington,Arlington,351,"17,979","90,963","$2,798,696 "
Medical City Dallas,Dallas,793,"30,537","193,230","$6,516,749 "
Medical City Denton,Denton,185,"9,442","45,950","$1,683,273 "
Medical City Fort Worth,Fort Worth,218,"9,488","49,978","$2,050,260 "
Medical City Frisco,Frisco,0,0,0,$0 
Medical City Las Colinas,Irving,80,"6,002","23,115","$720,531 "
Medical City Lewisville,Lewisville,156,"6,565","28,330","$1,072,640 "
Medical City McKinney,McKinney,234,"9,924","46,922","$1,576,048 "
Medical City Plano,Plano,461,"23,262","132,295","$4,473,715 "
Medical City Weatherford,Weatherford,82,"5,286","19,869","$648,397 "
Memorial Hermann - Texas Medical Center,Houston,"1,014","45,540","264,792","$6,903,256 "
Memorial Hermann Cypress Hospital,Cypress,0,0,0,$0 
Memorial Hermann Greater Heights Hospital,Houston,0,0,0,$0 
Memorial Hermann Katy Hospital,Katy,208,"12,800","41,723","$1,106,137 "
Memorial Hermann Memorial City Medical Center,Houston,444,"23,043","90,692","$2,097,714 "
Memorial Hermann Northeast Hospital,Humble,255,"13,644","55,954","$1,238,641 "
Memorial Hermann Orthopedic & Spine Hospital,Bellaire,64,"1,680","4,307","$233,017 "
Memorial Hermann Pearland Hospital,Pearland,0,0,0,$0 
Memorial Hermann Southeast Hospital,Houston,0,0,0,$0 
Memorial Hermann Southwest Hospital,Houston,"1,388","80,012","331,391","$7,230,819 "
Memorial Hermann Sugar Land Hospital,Sugar Land,145,"9,875","28,799","$862,522 "
Memorial Hermann Surgical Hospital First Colony,Sugar Land,7,116,444,"$23,599 "
Memorial Hermann Surgical Hospital Kingwood,Kingwood,10,354,766,"$121,559 "
Memorial Hermann Surgical Hospital-First Colony,Sugar Land,6,475,852,"$113,666 "
Memorial Hermann The Woodlands Medical Center,The Woodlands,0,0,0,$0 
Memorial Hermann Tomball,Tomball,15,149,518,"$40,109 "
Methodist Ambulatory Surgery Hospital,San Antonio,22,459,939,"$119,156 "
Methodist Charlton Medical Center,Dallas,317,"13,736","71,017","$1,156,358 "
Methodist Children's Hospital,San Antonio,198,"7,602","31,427","$74,260 "
Methodist Dallas Medical Center,Dallas,378,"15,989","85,653","$1,731,845 "
Methodist Hospital,San Antonio,"1,637","83,063","439,847","$10,934,901 "
Methodist Hospital for Surgery,Addison,32,"2,543","7,527","$281,062 "
Methodist Hospital South,Jourdanton,67,"1,711","5,288","$265,251 "
Methodist Mansfield Medical Center,Mansfield,254,"11,807","56,707","$890,995 "
Methodist McKinney Hospital,McKinney,23,"1,290","2,719","$154,883 "
Methodist Richardson Medical Center,Richardson,223,"11,297","52,067","$892,130 "
Methodist Southlake Hospital,Southlake,0,0,0,$0 
Methodist Specialty and Transplant Hospital,San Antonio,217,"8,551","40,895","$227,541 "
Methodist Stone Oak Hospital,San Antonio,242,"12,864","60,682","$1,430,274 "
Methodist Texsan Hospital,San Antonio,120,"2,749","11,069","$261,947 "
Metropolitan Methodist Hospital,San Antonio,279,"11,451","44,364","$188,530 "
Michael E. DeBakey VA Medical Center,Houston,0,0,0,$0 
Midland Memorial Hospital,Midland,228,"11,050","49,889","$1,015,524 "
Mission Regional Medical Center,Mission,297,"8,654","39,297","$724,174 "
Mission Trail Baptist Hospital,San Antonio,0,0,0,$0 
Nacogdoches Medical Center,Nacogdoches,155,"4,294","15,995","$704,344 "
Nacogdoches Memorial Hospital,Nacogdoches,141,"3,973","14,314","$288,763 "
Navarro Regional Hospital,Corsicana,49,"2,309","6,807","$343,637 "
Nocona General Hospital,Nocona,18,353,"1,251","$17,624 "
North Central Baptist Hospital,San Antonio,0,0,0,$0 
North Central Surgical Center,Dallas,24,"1,430","2,990","$232,881 "
North Texas Medical Center,Gainesville,36,"1,047","4,229","$127,859 "
Northeast Baptist Hospital,San Antonio,0,0,0,$0 
Northeast Methodist Hospital,San Antonio,116,"5,418","23,435","$163,926 "
Northwest Hills Surgical Hospital,Austin,8,515,626,"$162,478 "
Northwest Texas Healthcare System,Amarillo,444,"15,488","71,290","$1,780,402 "
Northwest Texas Surgical Hospital,Amarillo,4,175,248,"$32,490 "
OakBend Medical Center,Richmond,188,"5,421","23,319","$775,961 "
Odessa Regional Medical Center,Odessa,206,"6,288","32,907","$754,173 "
Palestine Regional Medical Center,Palestine,152,"3,425","19,191","$399,413 "
Palo Pinto General Hospital,Mineral Wells,48,"1,342","4,366","$159,825 "
Pampa Regional Medical Center,Pampa,110,"1,514","4,849","$175,749 "
Panhandle Surgical Hospital,Amarillo,0,0,0,$0 
Paris Regional Medical Center,Paris,253,"6,611","21,479","$591,636 "
Parkland Hospital,Dallas,807,"51,475","240,788","$6,787,070 "
Parkview Regional Hospital,Mexia,58,523,"1,631","$97,591 "
Permian Regional Medical Center,Andrews,30,764,"1,947","$67,380 "
