Hospital Name,City,Staffed,Total,Patient,Gross Patient
,,Beds,Discharges,Days,Revenue ($000)
Alta View Hospital,Sandy,58,"2,780","8,807","$268,780 "
American Fork Hospital,American Fork,91,"5,231","18,493","$367,812 "
Ashley Regional Medical Center,Vernal,39,"1,355","3,558","$134,133 "
Bear River Valley Hospital,Tremonton,16,424,"1,004","$45,443 "
Brigham City Community Hospital,Brigham City,40,"1,075","3,031","$110,327 "
Cache Valley Hospital,North Logan,28,693,"1,568","$129,308 "
Castleview Hospital,Price,39,"1,304","4,721","$186,810 "
Cedar City Hospital,Cedar City,48,"1,934","6,551","$180,190 "
Davis Hospital and Medical Center,Layton,205,"4,707","18,936","$478,195 "
Dixie Regional Medical Center,Saint George,284,"15,581","55,765","$1,252,022 "
George E. Wahlen Department of Veterans Affairs Medical Center,Salt Lake City,0,0,0,$0 
Intermountain Layton Hospital,Layton,0,0,0,$0 
Intermountain Medical Center,Murray,502,"25,975","115,907","$2,498,939 "
Jordan Valley Medical Center,West Jordan,314,"9,346","35,671","$781,194 "
Jordan Valley Medical Center - West Valley Campus,West Valley City,94,"5,198","14,630","$158,278 "
Lakeview Hospital,Bountiful,89,"3,786","13,267","$382,060 "
LDS Hospital,Salt Lake City,250,"8,691","34,827","$669,958 "
Logan Regional Hospital,Logan,151,"5,834","17,036","$409,708 "
Lone Peak Hospital,Draper,30,"1,876","6,051","$224,227 "
McKay-Dee Hospital,Ogden,310,"15,574","53,719","$1,378,775 "
Mountain Point Medical Center,Lehi,0,0,0,$0 
Mountain View Hospital,Payson,124,"3,489","11,627","$234,517 "
Mountain West Medical Center,Tooele,36,"1,620","4,338","$160,844 "
Ogden Regional Medical Center,Ogden,170,"7,639","31,340","$852,228 "
Orem Community Hospital,Orem,22,901,"3,492","$73,524 "
Park City Hospital,Park City,37,"1,848","4,208","$168,808 "
Riverton Hospital,Riverton,87,"5,255","16,766","$343,160 "
Saint Mark's Hospital,Salt Lake City,263,"13,017","53,563","$1,621,789 "
Salt Lake Regional Medical Center,Salt Lake City,143,"2,952","9,550","$279,046 "
Sevier Valley Hospital,Richfield,24,886,"2,588","$92,361 "
The Orthopedic Specialty Hospital (TOSH),Murray,40,"1,739","2,956","$202,915 "
Timpanogos Regional Hospital,Orem,117,"4,289","18,968","$391,840 "
Uintah Basin Medical Center,Roosevelt,35,"1,461","4,682","$156,438 "
University of Utah Hospital,Salt Lake City,585,"32,440","162,194","$3,822,996 "
Utah Valley Hospital,Provo,359,"17,489","76,161","$1,361,904 "
